period,year,quarter,全國,新北市,臺北市,桃園市,臺中市,臺南市,高雄市
2012Q3,2012,3,78.96,83.4,91.34,74.89,73.96,75.74,72.7
2012Q4,2012,4,79.75,85.12,92.42,75.66,74.49,75.42,74.48
2013Q1,2013,1,82.82,88.46,94.42,80.74,78.87,77.6,76.07
2013Q2,2013,2,86.71,92.83,99.06,86.89,80.62,81.82,81.56
2013Q3,2013,3,88.94,95.02,101.83,91.79,84.65,84.92,84.74
2013Q4,2013,4,90.77,98.42,104.06,91.93,85.83,86.34,88.62
2014Q1,2014,1,94.03,101.09,107.3,96.52,91.67,90.51,91.31
2014Q2,2014,2,95.65,103.34,108.17,97.29,95.36,92.88,92.78
2014Q3,2014,3,97.68,102.76,108.81,99.82,95.5,95.35,93.62
2014Q4,2014,4,99.07,103.55,107.0,103.9,98.09,96.62,98.71
2015Q1,2015,1,100.77,102.77,105.94,101.93,103.74,101.57,100.08
2015Q2,2015,2,100.15,102.91,106.5,103.15,103.56,100.3,100.92
2015Q3,2015,3,100.08,102.63,105.17,102.28,100.63,99.45,100.8
2015Q4,2015,4,99.6,100.72,101.48,101.35,99.04,98.9,99.72
2016Q1,2016,1,99.32,100.68,100.08,103.69,98.38,98.53,97.78
2016Q2,2016,2,100.76,100.48,100.2,99.18,100.09,100.22,99.74
2016Q3,2016,3,100.69,100.05,100.39,99.58,101.65,100.74,100.73
2016Q4,2016,4,99.09,99.57,99.27,103.4,99.39,100.04,99.39
2017Q1,2017,1,99.42,99.52,98.29,104.56,100.69,100.1,99.66
2017Q2,2017,2,99.86,99.16,98.54,99.75,101.45,100.77,101.93
2017Q3,2017,3,100.69,99.78,99.14,104.38,101.81,99.21,101.73
2017Q4,2017,4,100.6,100.93,98.33,102.65,103.05,99.68,101.63
2018Q1,2018,1,100.62,101.48,99.46,102.42,103.02,99.63,100.73
2018Q2,2018,2,100.08,101.28,100.01,102.38,101.89,100.53,99.64
2018Q3,2018,3,100.63,102.56,100.5,103.96,102.43,101.62,100.24
2018Q4,2018,4,100.8,102.38,100.07,103.82,103.19,102.89,100.83
2019Q1,2019,1,101.09,102.3,100.11,103.72,103.59,103.18,101.55
2019Q2,2019,2,101.59,102.49,99.59,103.74,103.81,104.67,102.13
2019Q3,2019,3,103.57,102.95,100.52,104.46,104.59,107.07,103.35
2019Q4,2019,4,104.14,103.46,100.8,104.64,105.48,107.88,104.29
2020Q1,2020,1,104.69,103.7,100.61,105.09,106.37,108.95,104.85
2020Q2,2020,2,105.39,103.9,100.7,105.8,107.64,110.38,105.24
2020Q3,2020,3,106.89,105.16,102.3,108.04,109.85,113.2,106.2
2020Q4,2020,4,108.17,106.11,103.65,109.43,111.4,115.91,107.58
2021Q1,2021,1,110.61,108.03,105.55,111.42,115.13,119.73,110.6
2021Q2,2021,2,112.42,108.89,106.72,113.92,117.62,122.29,111.55
2021Q3,2021,3,114.83,110.9,108.47,116.84,121.01,126.03,114.49
2021Q4,2021,4,117.5,112.69,109.44,120.64,124.28,129.68,118.0
2022Q1,2022,1,121.01,116.13,111.53,123.9,128.81,133.59,123.54
2022Q2,2022,2,123.97,118.57,112.67,126.89,132.06,136.56,127.07
2022Q3,2022,3,126.33,120.95,113.61,128.68,135.11,139.21,130.57
2022Q4,2022,4,127.51,121.33,113.08,130.3,135.97,140.25,131.59
2023Q1,2023,1,128.85,123.36,113.05,132.2,137.73,142.67,130.16
2023Q2,2023,2,130.8,124.63,114.22,134.8,140.01,143.41,132.73
2023Q3,2023,3,133.18,127.56,115.31,138.45,143.0,145.61,133.64
2023Q4,2023,4,136.2,129.57,117.54,141.77,146.71,145.83,137.26
2024Q1,2024,1,140.82,133.49,119.56,147.42,150.87,151.58,140.68
2024Q2,2024,2,146.48,137.76,123.11,153.73,157.34,154.71,149.49
2024Q3,2024,3,149.69,141.11,123.82,158.25,160.66,158.54,153.13
2024Q4,2024,4,150.98,142.56,125.37,159.74,161.47,158.94,156.12
2025Q1,2025,1,149.03,141.76,124.72,158.05,158.48,157.17,151.83
2025Q2,2025,2,148.65,141.71,124.77,158.22,156.76,155.71,152.27
2025Q3,2025,3,145.46,140.19,124.42,155.24,151.61,153.79,147.02
2025Q4,2025,4,145.52,140.27,125.32,156.25,150.73,152.22,148.45
2026Q1,2026,1,143.85,139.79,125.88,154.61,148.7,150.07,143.18
