stage,category,stock_id,company_name,year,quarter,statement,account,value,raw_value,market,source_url
上游,晶圓代工與先進封裝,2330,台積電,2013,1,income_statement,營業收入,132754996,"132,754,996",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,1,income_statement,營業成本,71988726,"71,988,726",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,1,income_statement,營業毛利（毛損）,60766270,"60,766,270",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,1,income_statement,未實現銷貨（損）益,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,1,income_statement,已實現銷貨（損）益,3540,"3,540",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,1,income_statement,營業毛利（毛損）淨額,60769810,"60,769,810",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,1,income_statement,營業費用,16376304,"16,376,304",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,1,income_statement,其他收益及費損淨額,34503,"34,503",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,1,income_statement,營業利益（損失）,44428009,"44,428,009",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,1,income_statement,營業外收入及支出,1319905,"1,319,905",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,1,income_statement,稅前淨利（淨損）,45747914,"45,747,914",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,1,income_statement,所得稅費用（利益）,6212371,"6,212,371",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,1,income_statement,繼續營業單位本期淨利（淨損）,39535543,"39,535,543",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,1,income_statement,停業單位損益,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,1,income_statement,合併前非屬共同控制股權損益,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,1,income_statement,本期淨利（淨損）,39535543,"39,535,543",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,1,income_statement,其他綜合損益（淨額）,5907807,"5,907,807",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,1,income_statement,合併前非屬共同控制股權綜合損益淨額,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,1,income_statement,本期綜合損益總額,45443350,"45,443,350",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,1,income_statement,淨利（淨損）歸屬於母公司業主,39576876,"39,576,876",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,1,income_statement,淨利（淨損）歸屬於共同控制下前手權益,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,1,income_statement,淨利（淨損）歸屬於非控制權益,-41333,"-41,333",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,1,income_statement,綜合損益總額歸屬於母公司業主,45455386,"45,455,386",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,1,income_statement,綜合損益總額歸屬於共同控制下前手權益,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,1,income_statement,綜合損益總額歸屬於非控制權益,-12036,"-12,036",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,1,income_statement,基本每股盈餘（元）,1.53,1.53,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,1,balance_sheet,流動資產,297751192,"297,751,192",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶圓代工與先進封裝,2330,台積電,2013,1,balance_sheet,非流動資產,763878534,"763,878,534",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶圓代工與先進封裝,2330,台積電,2013,1,balance_sheet,資產總額,1061629726,"1,061,629,726",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶圓代工與先進封裝,2330,台積電,2013,1,balance_sheet,流動負債,158206324,"158,206,324",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶圓代工與先進封裝,2330,台積電,2013,1,balance_sheet,非流動負債,134774317,"134,774,317",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶圓代工與先進封裝,2330,台積電,2013,1,balance_sheet,負債總額,292980641,"292,980,641",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶圓代工與先進封裝,2330,台積電,2013,1,balance_sheet,股本,259282327,"259,282,327",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶圓代工與先進封裝,2330,台積電,2013,1,balance_sheet,資本公積,55762572,"55,762,572",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶圓代工與先進封裝,2330,台積電,2013,1,balance_sheet,保留盈餘,447988344,"447,988,344",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶圓代工與先進封裝,2330,台積電,2013,1,balance_sheet,其他權益,3098025,"3,098,025",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶圓代工與先進封裝,2330,台積電,2013,1,balance_sheet,庫藏股票,0,0,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶圓代工與先進封裝,2330,台積電,2013,1,balance_sheet,歸屬於母公司業主之權益合計,766131268,"766,131,268",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶圓代工與先進封裝,2330,台積電,2013,1,balance_sheet,共同控制下前手權益,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶圓代工與先進封裝,2330,台積電,2013,1,balance_sheet,合併前非屬共同控制股權,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶圓代工與先進封裝,2330,台積電,2013,1,balance_sheet,非控制權益,2517817,"2,517,817",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶圓代工與先進封裝,2330,台積電,2013,1,balance_sheet,權益總額,768649085,"768,649,085",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶圓代工與先進封裝,2330,台積電,2013,1,balance_sheet,預收股款（權益項下）之約當發行股數（單位：股）,0,0,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶圓代工與先進封裝,2330,台積電,2013,1,balance_sheet,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0,0,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶圓代工與先進封裝,2330,台積電,2013,1,balance_sheet,每股參考淨值,29.55,29.55,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶圓代工與先進封裝,2330,台積電,2013,1,cash_flow,營業活動之淨現金流入（流出）,73569672,"73,569,672",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb20
上游,晶圓代工與先進封裝,2330,台積電,2013,1,cash_flow,投資活動之淨現金流入（流出）,-77032913,"-77,032,913",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb20
上游,晶圓代工與先進封裝,2330,台積電,2013,1,cash_flow,籌資活動之淨現金流入（流出）,44939320,"44,939,320",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb20
上游,晶圓代工與先進封裝,2330,台積電,2013,1,cash_flow,匯率變動對現金及約當現金之影響,1142131,"1,142,131",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb20
上游,晶圓代工與先進封裝,2330,台積電,2013,1,cash_flow,本期現金及約當現金增加（減少）數,42618210,"42,618,210",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb20
上游,晶圓代工與先進封裝,2330,台積電,2013,1,cash_flow,期初現金及約當現金餘額,143410588,"143,410,588",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb20
上游,晶圓代工與先進封裝,2330,台積電,2013,1,cash_flow,期末現金及約當現金餘額,186028798,"186,028,798",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb20
上游,晶圓代工與先進封裝,2330,台積電,2013,2,income_statement,營業收入,288641316,"288,641,316",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,2,income_statement,營業成本,151456246,"151,456,246",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,2,income_statement,營業毛利（毛損）,137185070,"137,185,070",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,2,income_statement,未實現銷貨（損）益,0,0,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,2,income_statement,已實現銷貨（損）益,6926,"6,926",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,2,income_statement,營業毛利（毛損）淨額,137191996,"137,191,996",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,2,income_statement,營業費用,35168438,"35,168,438",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,2,income_statement,其他收益及費損淨額,33533,"33,533",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,2,income_statement,營業利益（損失）,102057091,"102,057,091",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,2,income_statement,營業外收入及支出,3707502,"3,707,502",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶圓代工與先進封裝,2330,台積電,2013,2,income_statement,稅前淨利（淨損）,105764593,"105,764,593",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
