stage,category,stock_id,company_name,year,quarter,statement,account,value,raw_value,market,source_url
上游,晶片封測服務,2449,京元電子,2013,1,income_statement,營業收入,3381964,"3,381,964",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,1,income_statement,營業成本,2552557,"2,552,557",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,1,income_statement,營業毛利（毛損）,829407,"829,407",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,1,income_statement,未實現銷貨（損）益,0,0,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,1,income_statement,已實現銷貨（損）益,0,0,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,1,income_statement,營業毛利（毛損）淨額,829407,"829,407",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,1,income_statement,營業費用,402765,"402,765",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,1,income_statement,其他收益及費損淨額,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,1,income_statement,營業利益（損失）,426642,"426,642",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,1,income_statement,營業外收入及支出,26857,"26,857",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,1,income_statement,稅前淨利（淨損）,453499,"453,499",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,1,income_statement,所得稅費用（利益）,95000,"95,000",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,1,income_statement,繼續營業單位本期淨利（淨損）,358499,"358,499",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,1,income_statement,停業單位損益,0,0,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,1,income_statement,合併前非屬共同控制股權損益,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,1,income_statement,本期淨利（淨損）,358499,"358,499",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,1,income_statement,其他綜合損益（淨額）,120230,"120,230",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,1,income_statement,合併前非屬共同控制股權綜合損益淨額,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,1,income_statement,本期綜合損益總額,478729,"478,729",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,1,income_statement,淨利（淨損）歸屬於母公司業主,358393,"358,393",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,1,income_statement,淨利（淨損）歸屬於共同控制下前手權益,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,1,income_statement,淨利（淨損）歸屬於非控制權益,106,106,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,1,income_statement,綜合損益總額歸屬於母公司業主,478623,"478,623",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,1,income_statement,綜合損益總額歸屬於共同控制下前手權益,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,1,income_statement,綜合損益總額歸屬於非控制權益,106,106,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,1,income_statement,基本每股盈餘（元）,0.3,0.30,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,1,balance_sheet,流動資產,14127341,"14,127,341",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶片封測服務,2449,京元電子,2013,1,balance_sheet,非流動資產,22242216,"22,242,216",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶片封測服務,2449,京元電子,2013,1,balance_sheet,資產總額,36369557,"36,369,557",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶片封測服務,2449,京元電子,2013,1,balance_sheet,流動負債,7207408,"7,207,408",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶片封測服務,2449,京元電子,2013,1,balance_sheet,非流動負債,7710052,"7,710,052",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶片封測服務,2449,京元電子,2013,1,balance_sheet,負債總額,14917460,"14,917,460",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶片封測服務,2449,京元電子,2013,1,balance_sheet,股本,11913439,"11,913,439",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶片封測服務,2449,京元電子,2013,1,balance_sheet,資本公積,6626344,"6,626,344",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶片封測服務,2449,京元電子,2013,1,balance_sheet,保留盈餘,2989842,"2,989,842",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶片封測服務,2449,京元電子,2013,1,balance_sheet,其他權益,-80547,"-80,547",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶片封測服務,2449,京元電子,2013,1,balance_sheet,庫藏股票,0,0,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶片封測服務,2449,京元電子,2013,1,balance_sheet,歸屬於母公司業主之權益合計,21449078,"21,449,078",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶片封測服務,2449,京元電子,2013,1,balance_sheet,共同控制下前手權益,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶片封測服務,2449,京元電子,2013,1,balance_sheet,合併前非屬共同控制股權,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶片封測服務,2449,京元電子,2013,1,balance_sheet,非控制權益,3019,"3,019",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶片封測服務,2449,京元電子,2013,1,balance_sheet,權益總額,21452097,"21,452,097",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶片封測服務,2449,京元電子,2013,1,balance_sheet,預收股款（權益項下）之約當發行股數（單位：股）,1120000,"1,120,000",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶片封測服務,2449,京元電子,2013,1,balance_sheet,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0,0,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶片封測服務,2449,京元電子,2013,1,balance_sheet,每股參考淨值,18.0,18.00,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb05
上游,晶片封測服務,2449,京元電子,2013,1,cash_flow,營業活動之淨現金流入（流出）,1732039,"1,732,039",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb20
上游,晶片封測服務,2449,京元電子,2013,1,cash_flow,投資活動之淨現金流入（流出）,-1177358,"-1,177,358",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb20
上游,晶片封測服務,2449,京元電子,2013,1,cash_flow,籌資活動之淨現金流入（流出）,-64059,"-64,059",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb20
上游,晶片封測服務,2449,京元電子,2013,1,cash_flow,匯率變動對現金及約當現金之影響,30218,"30,218",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb20
上游,晶片封測服務,2449,京元電子,2013,1,cash_flow,本期現金及約當現金增加（減少）數,520840,"520,840",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb20
上游,晶片封測服務,2449,京元電子,2013,1,cash_flow,期初現金及約當現金餘額,8257219,"8,257,219",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb20
上游,晶片封測服務,2449,京元電子,2013,1,cash_flow,期末現金及約當現金餘額,8778059,"8,778,059",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb20
上游,晶片封測服務,2449,京元電子,2013,2,income_statement,營業收入,7157912,"7,157,912",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,2,income_statement,營業成本,5234965,"5,234,965",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,2,income_statement,營業毛利（毛損）,1922947,"1,922,947",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,2,income_statement,未實現銷貨（損）益,0,0,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,2,income_statement,已實現銷貨（損）益,0,0,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,2,income_statement,營業毛利（毛損）淨額,1922947,"1,922,947",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,2,income_statement,營業費用,841780,"841,780",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,2,income_statement,其他收益及費損淨額,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,2,income_statement,營業利益（損失）,1081167,"1,081,167",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,2,income_statement,營業外收入及支出,62825,"62,825",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,2,income_statement,稅前淨利（淨損）,1143992,"1,143,992",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,2,income_statement,所得稅費用（利益）,215000,"215,000",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,2,income_statement,繼續營業單位本期淨利（淨損）,928992,"928,992",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,2,income_statement,停業單位損益,0,0,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,2,income_statement,合併前非屬共同控制股權損益,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,2,income_statement,本期淨利（淨損）,928992,"928,992",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,2,income_statement,其他綜合損益（淨額）,191237,"191,237",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,2,income_statement,合併前非屬共同控制股權綜合損益淨額,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,2,income_statement,本期綜合損益總額,1120229,"1,120,229",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,2,income_statement,淨利（淨損）歸屬於母公司業主,928554,"928,554",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,2,income_statement,淨利（淨損）歸屬於共同控制下前手權益,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,2,income_statement,淨利（淨損）歸屬於非控制權益,438,438,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,2,income_statement,綜合損益總額歸屬於母公司業主,1119791,"1,119,791",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,2,income_statement,綜合損益總額歸屬於共同控制下前手權益,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
上游,晶片封測服務,2449,京元電子,2013,2,income_statement,綜合損益總額歸屬於非控制權益,438,438,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
