stage,category,stock_id,company_name,year,quarter,statement,account,value,raw_value,market,source_url
中游,ABF載板_高階PCB,2368,金像電,2013,1,income_statement,營業收入,3825759,"3,825,759",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2368,金像電,2013,1,income_statement,營業成本,3780900,"3,780,900",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2368,金像電,2013,1,income_statement,營業毛利（毛損）,44859,"44,859",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2368,金像電,2013,1,income_statement,未實現銷貨（損）益,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2368,金像電,2013,1,income_statement,已實現銷貨（損）益,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2368,金像電,2013,1,income_statement,營業毛利（毛損）淨額,44859,"44,859",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2368,金像電,2013,1,income_statement,營業費用,365978,"365,978",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2368,金像電,2013,1,income_statement,其他收益及費損淨額,-26345,"-26,345",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2368,金像電,2013,1,income_statement,營業利益（損失）,-347464,"-347,464",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2368,金像電,2013,1,income_statement,營業外收入及支出,-17470,"-17,470",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2368,金像電,2013,1,income_statement,稅前淨利（淨損）,-364934,"-364,934",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2368,金像電,2013,1,income_statement,所得稅費用（利益）,40839,"40,839",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2368,金像電,2013,1,income_statement,繼續營業單位本期淨利（淨損）,-405773,"-405,773",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2368,金像電,2013,1,income_statement,停業單位損益,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2368,金像電,2013,1,income_statement,合併前非屬共同控制股權損益,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2368,金像電,2013,1,income_statement,本期淨利（淨損）,-405773,"-405,773",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2368,金像電,2013,1,income_statement,其他綜合損益（淨額）,70476,"70,476",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2368,金像電,2013,1,income_statement,合併前非屬共同控制股權綜合損益淨額,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2368,金像電,2013,1,income_statement,本期綜合損益總額,-335297,"-335,297",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2368,金像電,2013,1,income_statement,淨利（淨損）歸屬於母公司業主,-405773,"-405,773",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2368,金像電,2013,1,income_statement,淨利（淨損）歸屬於共同控制下前手權益,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2368,金像電,2013,1,income_statement,淨利（淨損）歸屬於非控制權益,0,0,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2368,金像電,2013,1,income_statement,綜合損益總額歸屬於母公司業主,-335297,"-335,297",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2368,金像電,2013,1,income_statement,綜合損益總額歸屬於共同控制下前手權益,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2368,金像電,2013,1,income_statement,綜合損益總額歸屬於非控制權益,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2368,金像電,2013,1,income_statement,基本每股盈餘（元）,-0.73,-0.73,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2383,台光電,2013,1,income_statement,營業收入,4140507,"4,140,507",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2383,台光電,2013,1,income_statement,營業成本,3513203,"3,513,203",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2383,台光電,2013,1,income_statement,營業毛利（毛損）,627304,"627,304",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2383,台光電,2013,1,income_statement,未實現銷貨（損）益,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2383,台光電,2013,1,income_statement,已實現銷貨（損）益,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2383,台光電,2013,1,income_statement,營業毛利（毛損）淨額,627304,"627,304",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2383,台光電,2013,1,income_statement,營業費用,397196,"397,196",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2383,台光電,2013,1,income_statement,其他收益及費損淨額,,--,sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2383,台光電,2013,1,income_statement,營業利益（損失）,230108,"230,108",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2383,台光電,2013,1,income_statement,營業外收入及支出,-6962,"-6,962",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2383,台光電,2013,1,income_statement,稅前淨利（淨損）,223146,"223,146",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
中游,ABF載板_高階PCB,2383,台光電,2013,1,income_statement,所得稅費用（利益）,34436,"34,436",sii,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04
