stage,category,stock_id,company_name,statement,period_count,first_period,last_period
上游,晶圓代工與先進封裝,2330,台積電,income_statement,54,2013Q1,2026Q2
上游,晶圓代工與先進封裝,2330,台積電,balance_sheet,54,2013Q1,2026Q2
上游,晶圓代工與先進封裝,2330,台積電,cash_flow,54,2013Q1,2026Q2
上游,晶片封測服務,3711,日月光投控,income_statement,33,2018Q2,2026Q2
上游,晶片封測服務,3711,日月光投控,balance_sheet,33,2018Q2,2026Q2
上游,晶片封測服務,3711,日月光投控,cash_flow,33,2018Q2,2026Q2
上游,晶片封測服務,2449,京元電子,income_statement,54,2013Q1,2026Q2
上游,晶片封測服務,2449,京元電子,balance_sheet,54,2013Q1,2026Q2
上游,晶片封測服務,2449,京元電子,cash_flow,54,2013Q1,2026Q2
上游,ASIC設計服務_IP,3661,世芯-KY,income_statement,52,2013Q2,2026Q2
上游,ASIC設計服務_IP,3661,世芯-KY,balance_sheet,52,2013Q2,2026Q2
上游,ASIC設計服務_IP,3661,世芯-KY,cash_flow,52,2013Q2,2026Q2
上游,ASIC設計服務_IP,3443,創意,income_statement,54,2013Q1,2026Q2
上游,ASIC設計服務_IP,3443,創意,balance_sheet,54,2013Q1,2026Q2
上游,ASIC設計服務_IP,3443,創意,cash_flow,54,2013Q1,2026Q2
上游,ASIC設計服務_IP,3035,智原,income_statement,54,2013Q1,2026Q2
上游,ASIC設計服務_IP,3035,智原,balance_sheet,54,2013Q1,2026Q2
上游,ASIC設計服務_IP,3035,智原,cash_flow,54,2013Q1,2026Q2
上游,伺服器遠端管理_傳輸,5274,信驊,income_statement,54,2013Q1,2026Q2
上游,伺服器遠端管理_傳輸,5274,信驊,balance_sheet,54,2013Q1,2026Q2
上游,伺服器遠端管理_傳輸,5274,信驊,cash_flow,54,2013Q1,2026Q2
上游,伺服器遠端管理_傳輸,5269,祥碩,income_statement,54,2013Q1,2026Q2
上游,伺服器遠端管理_傳輸,5269,祥碩,balance_sheet,54,2013Q1,2026Q2
上游,伺服器遠端管理_傳輸,5269,祥碩,cash_flow,54,2013Q1,2026Q2
上游,伺服器遠端管理_傳輸,4966,譜瑞-KY,income_statement,54,2013Q1,2026Q2
上游,伺服器遠端管理_傳輸,4966,譜瑞-KY,balance_sheet,54,2013Q1,2026Q2
上游,伺服器遠端管理_傳輸,4966,譜瑞-KY,cash_flow,54,2013Q1,2026Q2
中游,散熱管理,3017,奇鋐,income_statement,54,2013Q1,2026Q2
中游,散熱管理,3017,奇鋐,balance_sheet,54,2013Q1,2026Q2
中游,散熱管理,3017,奇鋐,cash_flow,54,2013Q1,2026Q2
中游,散熱管理,3324,雙鴻,income_statement,54,2013Q1,2026Q2
中游,散熱管理,3324,雙鴻,balance_sheet,54,2013Q1,2026Q2
中游,散熱管理,3324,雙鴻,cash_flow,54,2013Q1,2026Q2
中游,散熱管理,3653,健策,income_statement,54,2013Q1,2026Q2
中游,散熱管理,3653,健策,balance_sheet,54,2013Q1,2026Q2
中游,散熱管理,3653,健策,cash_flow,54,2013Q1,2026Q2
中游,電源供應系統,2308,台達電,income_statement,54,2013Q1,2026Q2
中游,電源供應系統,2308,台達電,balance_sheet,54,2013Q1,2026Q2
中游,電源供應系統,2308,台達電,cash_flow,54,2013Q1,2026Q2
中游,電源供應系統,2301,光寶科,income_statement,54,2013Q1,2026Q2
中游,電源供應系統,2301,光寶科,balance_sheet,54,2013Q1,2026Q2
中游,電源供應系統,2301,光寶科,cash_flow,54,2013Q1,2026Q2
中游,ABF載板_高階PCB,3037,欣興,income_statement,54,2013Q1,2026Q2
中游,ABF載板_高階PCB,3037,欣興,balance_sheet,54,2013Q1,2026Q2
中游,ABF載板_高階PCB,3037,欣興,cash_flow,54,2013Q1,2026Q2
中游,ABF載板_高階PCB,8046,南電,income_statement,54,2013Q1,2026Q2
中游,ABF載板_高階PCB,8046,南電,balance_sheet,54,2013Q1,2026Q2
中游,ABF載板_高階PCB,8046,南電,cash_flow,54,2013Q1,2026Q2
