year,quarter,statement,market,endpoint,status,matched_companies
2013,1,income_statement,sii,ajax_t163sb04,ok,27
2013,1,income_statement,otc,ajax_t163sb04,ok,4
2013,1,balance_sheet,sii,ajax_t163sb05,ok,27
2013,1,balance_sheet,otc,ajax_t163sb05,ok,4
2013,1,cash_flow,sii,ajax_t163sb20,ok,27
2013,1,cash_flow,otc,ajax_t163sb20,ok,4
2013,2,income_statement,sii,ajax_t163sb04,ok,28
2013,2,income_statement,otc,ajax_t163sb04,ok,4
2013,2,balance_sheet,sii,ajax_t163sb05,ok,28
2013,2,balance_sheet,otc,ajax_t163sb05,ok,4
2013,2,cash_flow,sii,ajax_t163sb20,ok,28
2013,2,cash_flow,otc,ajax_t163sb20,ok,4
2013,3,income_statement,sii,ajax_t163sb04,ok,28
2013,3,income_statement,otc,ajax_t163sb04,ok,4
2013,3,balance_sheet,sii,ajax_t163sb05,ok,28
2013,3,balance_sheet,otc,ajax_t163sb05,ok,4
2013,3,cash_flow,sii,ajax_t163sb20,ok,28
2013,3,cash_flow,otc,ajax_t163sb20,ok,4
2013,4,income_statement,sii,ajax_t163sb04,ok,29
2013,4,income_statement,otc,ajax_t163sb04,ok,4
2013,4,balance_sheet,sii,ajax_t163sb05,ok,29
2013,4,balance_sheet,otc,ajax_t163sb05,ok,4
2013,4,cash_flow,sii,ajax_t163sb20,ok,29
2013,4,cash_flow,otc,ajax_t163sb20,ok,4
2014,1,income_statement,sii,ajax_t163sb04,ok,29
2014,1,income_statement,otc,ajax_t163sb04,ok,4
2014,1,balance_sheet,sii,ajax_t163sb05,ok,29
2014,1,balance_sheet,otc,ajax_t163sb05,ok,4
2014,1,cash_flow,sii,ajax_t163sb20,ok,29
2014,1,cash_flow,otc,ajax_t163sb20,ok,4
2014,2,income_statement,sii,ajax_t163sb04,ok,29
2014,2,income_statement,otc,ajax_t163sb04,ok,4
2014,2,balance_sheet,sii,ajax_t163sb05,ok,29
2014,2,balance_sheet,otc,ajax_t163sb05,ok,4
2014,2,cash_flow,sii,ajax_t163sb20,ok,29
2014,2,cash_flow,otc,ajax_t163sb20,ok,4
2014,3,income_statement,sii,ajax_t163sb04,ok,29
2014,3,income_statement,otc,ajax_t163sb04,ok,4
2014,3,balance_sheet,sii,ajax_t163sb05,ok,29
2014,3,balance_sheet,otc,ajax_t163sb05,ok,4
2014,3,cash_flow,sii,ajax_t163sb20,ok,29
2014,3,cash_flow,otc,ajax_t163sb20,ok,4
2014,4,income_statement,sii,ajax_t163sb04,ok,29
2014,4,income_statement,otc,ajax_t163sb04,ok,4
2014,4,balance_sheet,sii,ajax_t163sb05,ok,29
2014,4,balance_sheet,otc,ajax_t163sb05,ok,4
2014,4,cash_flow,sii,ajax_t163sb20,ok,29
2014,4,cash_flow,otc,ajax_t163sb20,ok,4
2015,1,income_statement,sii,ajax_t163sb04,ok,29
2015,1,income_statement,otc,ajax_t163sb04,ok,4
2015,1,balance_sheet,sii,ajax_t163sb05,ok,29
2015,1,balance_sheet,otc,ajax_t163sb05,ok,4
2015,1,cash_flow,sii,ajax_t163sb20,ok,29
2015,1,cash_flow,otc,ajax_t163sb20,ok,4
2015,2,income_statement,sii,ajax_t163sb04,ok,29
2015,2,income_statement,otc,ajax_t163sb04,ok,4
2015,2,balance_sheet,sii,ajax_t163sb05,ok,29
2015,2,balance_sheet,otc,ajax_t163sb05,ok,4
2015,2,cash_flow,sii,ajax_t163sb20,ok,29
2015,2,cash_flow,otc,ajax_t163sb20,ok,4
2015,3,income_statement,sii,ajax_t163sb04,ok,29
2015,3,income_statement,otc,ajax_t163sb04,ok,4
2015,3,balance_sheet,sii,ajax_t163sb05,ok,29
2015,3,balance_sheet,otc,ajax_t163sb05,ok,4
2015,3,cash_flow,sii,ajax_t163sb20,ok,29
2015,3,cash_flow,otc,ajax_t163sb20,ok,4
2015,4,income_statement,sii,ajax_t163sb04,ok,30
2015,4,income_statement,otc,ajax_t163sb04,ok,5
2015,4,balance_sheet,sii,ajax_t163sb05,ok,30
2015,4,balance_sheet,otc,ajax_t163sb05,ok,5
2015,4,cash_flow,sii,ajax_t163sb20,ok,30
2015,4,cash_flow,otc,ajax_t163sb20,ok,5
2016,1,income_statement,sii,ajax_t163sb04,ok,29
2016,1,income_statement,otc,ajax_t163sb04,ok,4
2016,1,balance_sheet,sii,ajax_t163sb05,ok,29
2016,1,balance_sheet,otc,ajax_t163sb05,ok,4
2016,1,cash_flow,sii,ajax_t163sb20,ok,29
2016,1,cash_flow,otc,ajax_t163sb20,ok,4
2016,2,income_statement,sii,ajax_t163sb04,ok,29
2016,2,income_statement,otc,ajax_t163sb04,ok,5
2016,2,balance_sheet,sii,ajax_t163sb05,ok,29
2016,2,balance_sheet,otc,ajax_t163sb05,ok,5
2016,2,cash_flow,sii,ajax_t163sb20,ok,29
2016,2,cash_flow,otc,ajax_t163sb20,ok,5
2016,3,income_statement,sii,ajax_t163sb04,ok,29
2016,3,income_statement,otc,ajax_t163sb04,ok,4
2016,3,balance_sheet,sii,ajax_t163sb05,ok,29
2016,3,balance_sheet,otc,ajax_t163sb05,ok,4
2016,3,cash_flow,sii,ajax_t163sb20,ok,29
2016,3,cash_flow,otc,ajax_t163sb20,ok,4
2016,4,income_statement,sii,ajax_t163sb04,ok,30
2016,4,income_statement,otc,ajax_t163sb04,ok,5
2016,4,balance_sheet,sii,ajax_t163sb05,ok,30
2016,4,balance_sheet,otc,ajax_t163sb05,ok,5
2016,4,cash_flow,sii,ajax_t163sb20,ok,30
2016,4,cash_flow,otc,ajax_t163sb20,ok,5
2017,1,income_statement,sii,ajax_t163sb04,ok,29
2017,1,income_statement,otc,ajax_t163sb04,ok,4
2017,1,balance_sheet,sii,ajax_t163sb05,ok,29
2017,1,balance_sheet,otc,ajax_t163sb05,ok,4
2017,1,cash_flow,sii,ajax_t163sb20,ok,29
2017,1,cash_flow,otc,ajax_t163sb20,ok,4
2017,2,income_statement,sii,ajax_t163sb04,ok,30
2017,2,income_statement,otc,ajax_t163sb04,ok,5
2017,2,balance_sheet,sii,ajax_t163sb05,ok,30
2017,2,balance_sheet,otc,ajax_t163sb05,ok,5
2017,2,cash_flow,sii,ajax_t163sb20,ok,30
2017,2,cash_flow,otc,ajax_t163sb20,ok,5
2017,3,income_statement,sii,ajax_t163sb04,ok,29
2017,3,income_statement,otc,ajax_t163sb04,ok,4
2017,3,balance_sheet,sii,ajax_t163sb05,ok,29
2017,3,balance_sheet,otc,ajax_t163sb05,ok,4
2017,3,cash_flow,sii,ajax_t163sb20,ok,29
2017,3,cash_flow,otc,ajax_t163sb20,ok,4
2017,4,income_statement,sii,ajax_t163sb04,ok,30
2017,4,income_statement,otc,ajax_t163sb04,ok,5
2017,4,balance_sheet,sii,ajax_t163sb05,ok,30
2017,4,balance_sheet,otc,ajax_t163sb05,ok,5
2017,4,cash_flow,sii,ajax_t163sb20,ok,30
2017,4,cash_flow,otc,ajax_t163sb20,ok,5
2018,1,income_statement,sii,ajax_t163sb04,ok,29
2018,1,income_statement,otc,ajax_t163sb04,ok,4
